816.3941811,-1312.515669,101.5166693
816.1413622,-1308.817328,99.56410892
815.8954016,-1305.056156,97.57872047
815.6638556,-1301.29751,95.58815092
815.4419291,-1297.521214,93.58676247
815.219252,-1293.639012,91.52823228
822.2210682,-1304.290583,114.6305971
819.0430656,-1304.595965,114.4183438
816.2324987,-1304.868937,114.2326483
813.2622546,-1305.159993,114.0417559
809.9849081,-1305.47965,113.8378543
806.8853425,-1305.782671,113.6526509
833.5265853,-1304.074333,111.8306457
823.9557953,-1305.87066,107.4718123
814.347,-1307.677,103.198
804.7051903,-1309.495348,99.00722178
795.0303622,-1311.351709,94.90849344
820.503,-1291.507,113.446
806.65179,-1293.285696,112.2104698
793.4159724,-1295.074726,111.0081798
